nurse,target,plot,rii_medf,rii_medalt
pereiro,cating,129,0.336805555600,0.336805555600
pereiro,cating,147,-0.025297619100,-0.025297619100
umbu,angico,32,0.137500000000,0.137500000000
umbu,angico,115,0.208333333400,0.208333333400
umbu,angico,141,0.084821428600,0.084821428600
umbu,angico,143,0.193452380900,0.193452380900
umbu,angico,158,-0.000000000125,-0.000000000125
umbu,aroeira,32,0.229572118800,0.229572118800
umbu,aroeira,115,-0.318208874400,-0.318208874400
umbu,aroeira,141,-0.123302904900,-0.123302904900
umbu,aroeira,143,0.045879644800,0.045879644800
umbu,aroeira,158,-0.007660455400,-0.007660455400
umbu,cating,32,0.137500000000,0.137500000000
umbu,cating,115,0.208333333400,0.208333333400
umbu,cating,141,0.084821428600,0.084821428600
umbu,cating,143,0.193452380900,0.193452380900
umbu,cating,158,-0.000000000125,-0.000000000125
