plot,espnurse,target,variable,crescf,cresca
78,imbiratanha,aroeira,taxa,-0.1219512195,-0.012195122
160,imbiratanha,angico,taxa,-0.16,0.0133333333
160,imbiratanha,cating,taxa,-0.0365853659,0.012195122
160,imbiratanha,aroeira,taxa,-0.1097560976,0.0243902439
57,imburana,angico,taxa,-0.0975609756,-0.012195122
57,imburana,cating,taxa,-0.0731707317,0.012195122
57,imburana,aroeira,taxa,-0.0975609756,0.012195122
151,imburana,angico,taxa,-0.0975609756,-0.0609756098
151,imburana,cating,taxa,-0.0243902439,0
151,imburana,aroeira,taxa,-0.1219512195,0
74,imburana,angico,taxa,-0.2317073171,-0.4390243902
74,imburana,cating,taxa,-0.0365853659,0.012195122
74,imburana,aroeira,taxa,-0.48,-1.72
76,imburana,angico,taxa,-0.2073170732,-0.487804878
76,imburana,cating,taxa,-0.0666666667,-0.04
76,imburana,aroeira,taxa,-0.28,-0.16
159,imburana,angico,taxa,-0.0853658537,0.012195122
159,imburana,cating,taxa,-0.0609756098,0
159,imburana,aroeira,taxa,-0.0975609756,-0.0487804878
34,ipe,angico,taxa,-0.1463414634,-0.0243902439
34,ipe,cating,taxa,-0.0487804878,-0.0243902439
34,ipe,aroeira,taxa,-0.1219512195,-0.012195122
112,ipe,angico,taxa,-0.0609756098,-0.4024390244
112,ipe,cating,taxa,-0.0243902439,-0.012195122
112,ipe,aroeira,taxa,-0.1794871795,0.0512820513
55,ipe,angico,taxa,-0.0853658537,-0.3780487805
55,ipe,cating,taxa,-0.0365853659,0.012195122
55,ipe,aroeira,taxa,-0.4,0.04
132,ipe,angico,taxa,-0.0731707317,-0.3292682927
132,ipe,cating,taxa,-0.0243902439,-0.1219512195
132,ipe,aroeira,taxa,-0.2307692308,-0.2564102564
118,ipe,angico,taxa,0.0731707317,-0.012195122
118,ipe,cating,taxa,-0.0365853659,0.0243902439
118,ipe,aroeira,taxa,-0.1341463415,0
