plot,nurse,target,tempo,altura,folha
32,umbu,angico,temp3,-0.0746268657,0.2857142857
32,umbu,angico,temp4,-0.0571428571,0.25
32,umbu,angico,temp5,-0.0882352941,0.3333333333
32,umbu,angico,temp6,-0.0724637681,0.3333333333
32,umbu,angico,temp7,-0.0882352941,0
32,umbu,angico,temp8,0.0847457627,0
32,umbu,angico,temp9,0,-0.0724637681
32,umbu,aroeira,temp1,-0.2333333333,-0.2173913043
32,umbu,aroeira,temp2,-0.2,-0.2
32,umbu,aroeira,temp3,-0.2258064516,0.7777777778
32,umbu,aroeira,temp4,-0.21875,0.1428571429
32,umbu,aroeira,temp5,-0.2380952381,0.6
32,umbu,aroeira,temp6,-0.1875,0.3333333333
32,umbu,aroeira,temp7,-0.1818181818,0.5
32,umbu,aroeira,temp8,-0.2,0.5
32,umbu,aroeira,temp9,0,-0.1818181818
32,umbu,cating,temp1,-0.1525423729,-0.2
32,umbu,cating,temp2,-0.1525423729,-0.2
32,umbu,cating,temp3,-0.1935483871,0.5
32,umbu,cating,temp4,-0.1875,0
32,umbu,cating,temp5,-0.2063492063,0
32,umbu,cating,temp6,-0.2063492063,0
32,umbu,cating,temp7,-0.1875,0
32,umbu,cating,temp8,-0.1875,0
32,umbu,cating,temp9,1,1
33,paubranco,angico,temp1,-0.1884057971,0.2
33,paubranco,angico,temp2,-0.2285714286,0
33,paubranco,angico,temp3,-0.3333333333,-0.5
33,paubranco,angico,temp4,-0.2463768116,-0.3333333333
33,paubranco,angico,temp5,-1,-1
33,paubranco,angico,temp6,-1,-1
33,paubranco,angico,temp7,-1,-1
33,paubranco,angico,temp8,-1,-1
33,paubranco,angico,temp9,-1,-1
33,paubranco,aroeira,temp1,0.2549019608,-0.9090909091
33,paubranco,aroeira,temp2,0,-0.8333333333
33,paubranco,aroeira,temp3,-1,-1
33,paubranco,aroeira,temp4,-1,-1
33,paubranco,aroeira,temp5,-1,-1
33,paubranco,aroeira,temp6,-1,-1
33,paubranco,aroeira,temp7,-1,-1
33,paubranco,aroeira,temp8,-1,-1
33,paubranco,aroeira,temp9,-1,-1
33,paubranco,cating,temp1,-0.2653061224,-0.1428571429
33,paubranco,cating,temp2,-0.2727272727,-0.1428571429
33,paubranco,cating,temp3,-0.2916666667,0.5
33,paubranco,cating,temp4,-0.3333333333,0.5
33,paubranco,cating,temp5,-0.8787878788,0.5
33,paubranco,cating,temp6,-0.3043478261,0.5
33,paubranco,cating,temp7,-0.3333333333,0.5
33,paubranco,cating,temp8,-0.2916666667,0
33,paubranco,cating,temp9,0,-0.5897435897
34,ipe,angico,temp1,-0.137254902,-0.0833333333
34,ipe,angico,temp2,-0.1666666667,0
34,ipe,angico,temp3,-0.1904761905,0.0769230769
34,ipe,angico,temp4,-0.2340425532,0.4
34,ipe,angico,temp5,-0.2173913043,0.2
34,ipe,angico,temp6,-0.2,0.6666666667
34,ipe,angico,temp7,-0.3658536585,0
34,ipe,angico,temp8,-0.4210526316,0
34,ipe,angico,temp9,0,-0.35
34,ipe,aroeira,temp1,-0.0512820513,0
34,ipe,aroeira,temp2,-0.04,0
34,ipe,aroeira,temp3,-0.0833333333,0
34,ipe,aroeira,temp4,-0.1142857143,0
34,ipe,aroeira,temp5,-0.0985915493,0.5
34,ipe,aroeira,temp6,-0.1142857143,0.4285714286
34,ipe,aroeira,temp7,-0.0985915493,0.5
34,ipe,aroeira,temp8,-0.0833333333,0
34,ipe,aroeira,temp9,0,-0.1111111111
34,ipe,cating,temp1,-0.1851851852,0.0909090909
34,ipe,cating,temp2,-0.1632653061,0
34,ipe,cating,temp3,-0.1538461538,-0.2727272727
34,ipe,cating,temp4,-0.2,-0.2727272727
34,ipe,cating,temp5,-0.1666666667,0.5
34,ipe,cating,temp6,-0.1619047619,0.5
34,ipe,cating,temp7,-0.180952381,0.3333333333
34,ipe,cating,temp8,-0.1886792453,0
34,ipe,cating,temp9,0,-0.1923076923
35,catingueira,angico,temp1,0.2195121951,0
35,catingueira,angico,temp2,0.2682926829,0.0909090909
35,catingueira,angico,temp3,0.25,0.0909090909
35,catingueira,angico,temp4,0.1904761905,-0.1111111111
35,catingueira,angico,temp5,0.1627906977,-0.3333333333
35,catingueira,angico,temp6,0.2195121951,0
35,catingueira,angico,temp7,0.320754717,0
35,catingueira,angico,temp8,0.1904761905,0
35,catingueira,angico,temp9,0,0.1627906977
35,catingueira,aroeira,temp1,-0.2173913043,0.0476190476
35,catingueira,aroeira,temp2,-0.1884057971,0.1304347826
35,catingueira,aroeira,temp3,-0.1940298507,0.8461538462
35,catingueira,aroeira,temp4,-0.2424242424,-0.7777777778
35,catingueira,aroeira,temp5,-0.0810810811,-0.1428571429
35,catingueira,aroeira,temp6,-0.25,-0.5
35,catingueira,aroeira,temp7,-0.2307692308,0
35,catingueira,aroeira,temp8,-0.2195121951,0
35,catingueira,aroeira,temp9,0,-0.2424242424
35,catingueira,cating,temp1,-0.1084337349,-0.1666666667
35,catingueira,cating,temp2,-0.125,-0.4545454545
35,catingueira,cating,temp3,-0.1358024691,-0.4
35,catingueira,cating,temp4,-0.1538461538,-0.25
35,catingueira,cating,temp5,-0.3055555556,-0.3333333333
35,catingueira,cating,temp6,-0.164556962,0
35,catingueira,cating,temp7,-0.164556962,0.3333333333
35,catingueira,cating,temp8,-0.1538461538,0
35,catingueira,cating,temp9,0,-0.175
38,angico,angico,temp1,0.1384615385,-0.2222222222
38,angico,angico,temp2,0.1384615385,-0.2857142857
38,angico,angico,temp3,0.1746031746,-0.1666666667
38,angico,angico,temp4,0.15625,-0.0909090909
38,angico,angico,temp5,-0.0384615385,0
38,angico,angico,temp6,0.15625,-0.3333333333
38,angico,angico,temp7,0.1515151515,0
38,angico,angico,temp8,0.1515151515,0
38,angico,angico,temp9,0,-0.5675675676
38,angico,aroeira,temp1,-0.1428571429,-0.25
38,angico,aroeira,temp2,-0.0877192982,-0.3333333333
38,angico,aroeira,temp3,-0.1111111111,-0.2857142857
38,angico,aroeira,temp4,-0.1272727273,-0.3846153846
38,angico,aroeira,temp5,0.1014492754,-0.3333333333
38,angico,aroeira,temp6,-0.1228070175,-0.3333333333
38,angico,aroeira,temp7,-0.1282051282,-0.4285714286
38,angico,aroeira,temp8,-0.1578947368,-0.6666666667
38,angico,aroeira,temp9,-0.5,-0.1379310345
38,angico,cating,temp1,-0.2307692308,0
38,angico,cating,temp2,-0.1764705882,0
38,angico,cating,temp3,-0.16,0
38,angico,cating,temp4,-0.2156862745,0
38,angico,cating,temp5,-0.2156862745,0.2
38,angico,cating,temp6,-0.1923076923,0.2
38,angico,cating,temp7,-0.2307692308,0
38,angico,cating,temp8,-0.1923076923,0
38,angico,cating,temp9,0,-0.1923076923
41,burra,angico,temp1,0.2537313433,0.4117647059
41,burra,angico,temp2,0.2203389831,-0.1111111111
41,burra,angico,temp3,0.2666666667,-0.6666666667
41,burra,angico,temp4,0.2580645161,-0.3333333333
41,burra,angico,temp5,-1,-1
41,burra,angico,temp6,-1,-1
41,burra,angico,temp7,-1,-1
41,burra,angico,temp8,-1,-1
41,burra,angico,temp9,-1,-1
41,burra,aroeira,temp1,0.03125,0
41,burra,aroeira,temp2,0.0508474576,-0.2222222222
41,burra,aroeira,temp3,-0.0175438596,-0.3333333333
41,burra,aroeira,temp4,0.0169491525,-0.4285714286
41,burra,aroeira,temp5,0.0877192982,0.5
41,burra,aroeira,temp6,0.0333333333,-0.3333333333
41,burra,aroeira,temp7,0.0163934426,0.3333333333
41,burra,aroeira,temp8,0.024,0
41,burra,aroeira,temp9,-1,-1
41,burra,cating,temp1,-0.0153846154,0.5
41,burra,cating,temp2,0.1186440678,0.5
41,burra,cating,temp3,0.0967741935,0.2
41,burra,cating,temp4,0.1034482759,0
41,burra,cating,temp5,0.1379310345,-0.3333333333
41,burra,cating,temp6,0.1,0
41,burra,cating,temp7,0.1,0
41,burra,cating,temp8,0.0847457627,0
41,burra,cating,temp9,0.9259259259,0.935483871
43,catanduva,angico,temp1,0.1538461538,0.4545454545
43,catanduva,angico,temp2,0.0666666667,0.3333333333
43,catanduva,angico,temp3,0.0666666667,0.25
43,catanduva,angico,temp4,0.0175438596,0.1428571429
43,catanduva,angico,temp5,0.0344827586,0.5
43,catanduva,angico,temp6,0.0175438596,0.5
43,catanduva,angico,temp7,-0.0088495575,0.3333333333
43,catanduva,angico,temp8,0.0344827586,0
43,catanduva,angico,temp9,0,0.0508474576
43,catanduva,aroeira,temp1,0.2876712329,0
43,catanduva,aroeira,temp2,0.1176470588,-0.1111111111
43,catanduva,aroeira,temp3,0.1940298507,-0.0526315789
43,catanduva,aroeira,temp4,0.1384615385,-0.4666666667
43,catanduva,aroeira,temp5,0.1641791045,-0.25
43,catanduva,aroeira,temp6,0.1641791045,-0.2
43,catanduva,aroeira,temp7,0.1764705882,-0.2
43,catanduva,aroeira,temp8,0.1764705882,-0.6
43,catanduva,aroeira,temp9,0,0.1428571429
43,catanduva,cating,temp1,-0.3636363636,0.1428571429
43,catanduva,cating,temp2,-0.2432432432,0.1428571429
43,catanduva,cating,temp3,-0.2105263158,0.1428571429
43,catanduva,cating,temp4,-0.2222222222,0.3333333333
43,catanduva,cating,temp5,-0.1891891892,0.6
43,catanduva,cating,temp6,-0.2105263158,0
43,catanduva,cating,temp7,-0.1891891892,0
43,catanduva,cating,temp8,-0.1891891892,0
43,catanduva,cating,temp9,1,1
46,jubranca,angico,temp1,-0.010989011,-0.4285714286
46,jubranca,angico,temp2,-0.0638297872,-0.375
46,jubranca,angico,temp3,-0.0227272727,0
46,jubranca,angico,temp4,1,1
46,jubranca,angico,temp5,0,0
46,jubranca,angico,temp6,0,0
46,jubranca,angico,temp7,0,0
46,jubranca,angico,temp8,0,0
46,jubranca,angico,temp9,0,0
46,jubranca,aroeira,temp1,-0.037037037,0.3
46,jubranca,aroeira,temp2,0.1803278689,0.8571428571
46,jubranca,aroeira,temp3,0.1111111111,0.4285714286
46,jubranca,aroeira,temp4,0.1475409836,-0.6666666667
46,jubranca,aroeira,temp5,0.1290322581,-0.5
46,jubranca,aroeira,temp6,0.1475409836,0
46,jubranca,aroeira,temp7,0.1428571429,0
46,jubranca,aroeira,temp8,0.1475409836,-0.3333333333
46,jubranca,aroeira,temp9,0,0.1666666667
46,jubranca,cating,temp1,0,0.5
46,jubranca,cating,temp2,-0.1153846154,0.5
46,jubranca,cating,temp3,-0.0666666667,0.5555555556
46,jubranca,cating,temp4,-0.125,0.6
46,jubranca,cating,temp5,-0.0416666667,0.6
46,jubranca,cating,temp6,-0.1111111111,0.5
46,jubranca,cating,temp7,-0.1020408163,-0.8823529412
46,jubranca,cating,temp8,-0.0638297872,-0.3333333333
46,jubranca,cating,temp9,0,-0.1304347826
48,marmeleiro,angico,temp1,-0.3870967742,-0.2857142857
48,marmeleiro,angico,temp2,-0.3898305085,-0.0909090909
48,marmeleiro,angico,temp3,-0.3870967742,-0.6666666667
48,marmeleiro,angico,temp4,-0.4516129032,-0.6
48,marmeleiro,angico,temp5,-0.4426229508,-0.6
48,marmeleiro,angico,temp6,-1,-1
48,marmeleiro,angico,temp7,-1,-1
48,marmeleiro,angico,temp8,-1,-1
48,marmeleiro,angico,temp9,-1,-1
48,marmeleiro,aroeira,temp1,0.12,-0.0833333333
48,marmeleiro,aroeira,temp2,0.0540540541,-0.0769230769
48,marmeleiro,aroeira,temp3,0.1052631579,0
48,marmeleiro,aroeira,temp4,0.0540540541,-0.0666666667
48,marmeleiro,aroeira,temp5,0.0526315789,-0.1111111111
48,marmeleiro,aroeira,temp6,0.0933333333,0.1428571429
48,marmeleiro,aroeira,temp7,0.0789473684,0.5
48,marmeleiro,aroeira,temp8,0.0666666667,0
48,marmeleiro,aroeira,temp9,0,0.04
48,marmeleiro,cating,temp1,0,-0.25
48,marmeleiro,cating,temp2,0.0204081633,-0.1428571429
48,marmeleiro,cating,temp3,-0.08,-0.1428571429
48,marmeleiro,cating,temp4,-0.0588235294,-0.5
48,marmeleiro,cating,temp5,-0.0769230769,0.3333333333
48,marmeleiro,cating,temp6,-0.1428571429,0
48,marmeleiro,cating,temp7,-0.0204081633,0
48,marmeleiro,cating,temp8,0,0
48,marmeleiro,cating,temp9,0,0
51,marmeleiro,angico,temp1,0.0943396226,-0.3142857143
51,marmeleiro,angico,temp2,0.1238095238,0.8333333333
51,marmeleiro,angico,temp3,0.1067961165,-0.3103448276
51,marmeleiro,angico,temp4,0.1067961165,-0.7142857143
51,marmeleiro,angico,temp5,0.0873786408,-0.3333333333
51,marmeleiro,angico,temp6,0.0857142857,-0.9047619048
51,marmeleiro,angico,temp7,0.1111111111,-0.8461538462
51,marmeleiro,angico,temp8,0.0873786408,0
51,marmeleiro,angico,temp9,0,0.0980392157
51,marmeleiro,aroeira,temp1,0.2063492063,0
51,marmeleiro,aroeira,temp2,1,1
51,marmeleiro,aroeira,temp3,1,1
51,marmeleiro,aroeira,temp4,1,1
51,marmeleiro,aroeira,temp5,1,1
51,marmeleiro,aroeira,temp6,1,1
51,marmeleiro,aroeira,temp7,1,1
51,marmeleiro,aroeira,temp8,1,1
51,marmeleiro,aroeira,temp9,1,1
51,marmeleiro,cating,temp1,0.1212121212,-0.1428571429
51,marmeleiro,cating,temp2,0.1875,0
51,marmeleiro,cating,temp3,0.0294117647,0
51,marmeleiro,cating,temp4,0.0434782609,0
51,marmeleiro,cating,temp5,0.0746268657,0.2
51,marmeleiro,cating,temp6,0.0882352941,0
51,marmeleiro,cating,temp7,0.0746268657,0
51,marmeleiro,cating,temp8,0.0746268657,0
51,marmeleiro,cating,temp9,0,0.0461538462
52,paubranco,angico,temp1,-0.0746268657,-0.1428571429
52,paubranco,angico,temp2,-0.0909090909,0.2857142857
