plot	nurse	target	tempo	altura_imp	altura_rii	folhas_imp	folhas_rii
43	catanduva	angico	2	-0.160714286	-0.243243243	0.066666667	0.142857143
43	catanduva	angico	3	-0.140350877	-0.210526316	0.090909091	0.142857143
43	catanduva	angico	4	-0.140350877	-0.222222222	0.090909091	0.333333333
43	catanduva	angico	6	-0.150943396	-0.210526316	0	0
43	catanduva	angico	7	-0.12962963	-0.189189189	0	0
43	catanduva	angico	8	-0.127272727	-0.189189189	0	0
43	catanduva	angico	9	0.174418605	1	0.037037037	1
43	catanduva	aroeira	1	0.5	0.287671233	0	0
43	catanduva	aroeira	2	0.32	0.117647059	-0.2	-0.111111111
43	catanduva	aroeira	3	0.382352941	0.194029851	-0.03030303	-0.052631579
43	catanduva	aroeira	4	0.310344828	0.138461538	-1	-0.466666667
43	catanduva	aroeira	6	0.366666667	0.164179104	-0.166666667	-0.2
43	catanduva	aroeira	7	0.387096774	0.176470588	-0.2	-0.2
43	catanduva	aroeira	8	0.375	0.176470588	-0.375	-0.6
43	catanduva	aroeira	9	0.285714286	0.142857143	0	0
43	catanduva	cating	1	-0.280701754	-0.363636364	0.083333333	0.142857143
43	catanduva	cating	2	-0.160714286	-0.243243243	0.066666667	0.142857143
43	catanduva	cating	3	-0.140350877	-0.210526316	0.090909091	0.142857143
43	catanduva	cating	4	-0.140350877	-0.222222222	0.090909091	0.333333333
43	catanduva	cating	6	-0.150943396	-0.210526316	0	0
43	catanduva	cating	7	-0.12962963	-0.189189189	0	0
43	catanduva	cating	8	-0.127272727	-0.189189189	0	0
43	catanduva	cating	9	0.174418605	1	0.037037037	1
65	catanduva	angico	1	0.1875	0.24	-0.1	-0.111111111
65	catanduva	angico	2	0.19047619	0.24	0.071428571	0.111111111
65	catanduva	angico	3	0.181818182	0.25	-0.25	-0.6
65	catanduva	angico	4	0	0	-0.125	-0.142857143
65	catanduva	angico	6	0.160714286	0.176470588	0	0
65	catanduva	angico	7	0.172413793	0.192307692	0	0
65	catanduva	angico	8	0.169491525	0.192307692	0	0
65	catanduva	angico	9	0.29	1	0.037037037	1
65	catanduva	aroeira	1	0.428571429	0.113924051	-0.166666667	-0.1
65	catanduva	aroeira	2	0.44	0.142857143	0	0
65	catanduva	aroeira	3	0.392857143	0.150684932	0.046511628	0.5
65	catanduva	aroeira	4	0.294117647	0.064935065	0	0
65	catanduva	aroeira	6	0.391304348	0.12	0	0
65	catanduva	aroeira	7	0.35	0.093333333	0	0
65	catanduva	aroeira	8	0.380952381	0.102564103	0.111111111	0.333333333
65	catanduva	aroeira	9	0.25	0.093333333	0	0
65	catanduva	cating	1	0.1875	0.24	-0.1	-0.111111111
65	catanduva	cating	2	0.19047619	0.24	0.071428571	0.111111111
65	catanduva	cating	3	0.181818182	0.25	-0.25	-0.6
65	catanduva	cating	4	0	0	-0.125	-0.142857143
65	catanduva	cating	6	0.160714286	0.176470588	0	0
65	catanduva	cating	7	0.172413793	0.192307692	0	0
65	catanduva	cating	8	0.169491525	0.192307692	0	0
65	catanduva	cating	9	0.29	1	0.037037037	1
108	catanduva	angico	1	0.092592593	0.102040816	0.153846154	0.25
